ledger_id,asset,side,order_type,entry,sl,tp1,tp2,size_units,opened_at_utc,closed_at_utc,close_reason,outcome,est_pnl_usd,source_signal,entry_signature,trigger_bar_utc,voided,void_reason,truth_verified_utc,verify_note
281e2a209aaa2a8b,XAGUSD,short,LIMIT,58.75034,59.13905171,57.97291657,57.58420486,25.72600627,2026-07-08T08:56:25Z,2026-07-08T09:22:43Z,take_profit_hit,tp1_closed,20.00,precision_arming,sell_LIMIT,,true,pre-fix phantom — bar-selection bug,,
7ba8b48b7ac74d20,GOLD_CFD,short,LIMIT,4064.24642,4077.67512543,4037.38900914,4023.96030371,0.74467342,2026-07-08T08:58:55Z,2026-07-08T11:00:35Z,expired,expired,-0.00,precision_arming,sell_LIMIT,,true,pre-fix phantom — bar-selection bug,,
bb92e7bd67e17f07,USOIL,long,LIMIT,74.516132,73.94308434,75.66222731,76.23527497,17.4505556,2026-07-08T14:29:16Z,2026-07-08T16:29:25Z,expired,expired,0.00,precision_arming,buy_LIMIT,,true,pre-fix phantom — bar-selection bug,,
f7252e0b3ac6996d,USOIL,long,LIMIT,71.93846,71.42927223,72.95683554,73.46602331,19.6391205,2026-07-10T14:38:38Z,2026-07-10T14:39:24Z,take_profit_2_hit,tp_hit,30.00,precision_arming,buy_LIMIT,,true,pre-fix phantom — bar-selection bug,,
e1cd7a75e2295c09,USOIL,short,LIMIT,71.24005,71.78104437,70.15806126,69.61706689,18.48448067,2026-07-10T15:22:42Z,2026-07-10T15:23:33Z,stop_loss_hit,stopped,-10.00,precision_arming,sell_LIMIT,,true,pre-fix phantom — bar-selection bug,,
4715f86585c5ebf9,GOLD_CFD,short,LIMIT,4106.19701,4117.80057029,4082.98988943,4071.38632914,0.86180446,2026-07-10T15:28:12Z,2026-07-10T15:29:00Z,take_profit_hit,tp1_closed,20.00,precision_arming,sell_LIMIT,,true,pre-fix phantom — bar-selection bug,,
222fe863e2f019f2,USOIL,short,LIMIT,70.8364,71.25876297,69.99167406,69.56931109,23.67631795,2026-07-10T16:03:56Z,2026-07-10T16:04:47Z,stop_loss_hit,stopped,-10.00,precision_arming,sell_LIMIT,,true,pre-fix phantom — bar-selection bug,,
83f35dc10046cf06,USOIL,long,LIMIT,79.75628,78.99091477,81.28701046,82.05237569,12.53819762,2026-07-14T07:03:26Z,2026-07-14T10:44:16Z,take_profit_hit,tp1_closed,19.19,precision_arming,buy_LIMIT,2026-07-14T10:30:00Z,false,,2026-07-14T15:00:00Z,manual: candle-verified at close time
191ef84896ec8973,XAGUSD,short,LIMIT,59.05199,59.42794914,58.30007171,57.92411257,16.93423033,2026-07-14T13:06:14Z,2026-07-14T13:48:32Z,stop_loss_hit,stopped,-6.37,precision_arming,sell_LIMIT,2026-07-14T13:45:00Z,false,,2026-07-14T15:00:00Z,manual: candle-verified at close time
0dba9099460badba,XAGUSD,short,LIMIT,55.72326,56.03918314,55.09141371,54.77549057,17.94582729,2026-07-16T13:13:44Z,2026-07-16T13:27:25Z,stop_loss_hit,stopped,-5.67,precision_arming,sell_LIMIT,2026-07-16T13:20:00Z,false,,2026-07-16T15:17:23Z,
45ac0bdb5857c157,GOLD_CFD,long,LIMIT,3987.83671,3975.93783229,4011.63446543,4023.53334314,0.50152505,2026-07-17T13:47:24Z,2026-07-17T15:08:29Z,take_profit_hit,tp1_closed,11.94,precision_arming,buy_LIMIT,2026-07-17T15:05:00Z,false,,2026-07-17T15:08:30Z,
33f3007d1aae5ddc,USOIL,short,LIMIT,82.485825,83.0132322,81.4310106,80.9036034,12.12329512,2026-07-20T07:50:26Z,2026-07-20T09:51:07Z,expired,expired,-0.00,precision_arming,sell_LIMIT,,false,,,
078c4019ecf31c1a,USOIL,long,LIMIT,87.268365,86.5743144,88.6564662,89.3505168,11.4589061,2026-07-22T10:36:10Z,2026-07-22T12:36:00Z,stop_loss_hit,stopped,-7.95,precision_arming,buy_LIMIT,2026-07-22T12:30:00Z,false,,2026-07-22T12:36:01Z,
75fbc1e6b0a023d7,USOIL,long,LIMIT,88.462831,87.79292354,89.80264591,90.47255337,11.30418266,2026-07-23T08:52:52Z,2026-07-23T09:29:18Z,take_profit_hit,tp1_closed,15.15,precision_arming,buy_LIMIT,2026-07-23T09:15:00Z,false,,2026-07-23T09:29:18Z,
2183d99b6d2266e6,USOIL,long,LIMIT,89.236186,87.82350674,92.06154451,93.47422377,11.20621628,2026-07-24T07:48:09Z,2026-07-24T09:36:39Z,stop_loss_hit,stopped,-15.83,precision_arming,buy_LIMIT,2026-07-24T09:30:00Z,false,,2026-07-24T09:36:39Z,
4461494c039d2f14,USOIL,long,LIMIT,88.495256,87.05722614,91.37131571,92.80934557,11.30004076,2026-07-24T14:10:30Z,2026-07-24T16:34:20Z,session_force_close,force_closed,-11.65,precision_arming,buy_LIMIT,,false,,2026-07-24T16:34:20Z,market_close_entry_only
